"costs";"clicks";"visits";"sql_date";"strategy_id"
108.2143;0;0;"2017-02-13";6579
0.0000;0;288;"2017-02-13";6413
0.0000;0;0;"2017-02-13";6412
0.0000;0;0;"2017-02-13";6411
0.0000;0;6;"2017-02-13";6317
0.0000;0;17;"2017-02-13";6316
0.0000;0;11;"2017-02-13";6315
0.0000;0;0;"2017-02-13";6314
0.0000;0;2;"2017-02-13";6313
0.0000;0;2;"2017-02-13";6312
0.0000;0;2;"2017-02-13";6311
0.0000;0;1;"2017-02-13";6308
0.0000;0;0;"2017-02-13";5687
0.0000;0;0;"2017-02-13";4307
0.0000;0;0;"2017-02-13";3568
0.0000;0;0;"2017-02-13";3566
0.0000;0;0;"2017-02-13";3565
0.0000;0;0;"2017-02-13";2902
0.0000;0;3;"2017-02-13";2766
0.0000;0;1;"2017-02-13";2763
0.0000;0;0;"2017-02-13";2561
0.0000;0;0;"2017-02-13";2560
0.0000;0;0;"2017-02-13";2559
0.0000;0;5;"2017-02-13";2233
0.0000;0;7;"2017-02-13";2231
0.0000;0;0;"2017-02-13";752
0.0000;0;0;"2017-02-13";751
0.0000;0;23;"2017-02-13";744
42.9179;0;3018;"2017-02-13";260
35.1146;0;86;"2017-02-13";210
0.0000;0;691;"2017-02-13";-1
0.0000;0;158;"2017-02-13";-2
0.0000;0;1734;"2017-02-13";-3
0.0000;0;44;"2017-02-13";-4
0.0000;0;0;"2017-02-13";-5
91.4886;0;0;"2017-02-13";-6
0.0000;0;0;"2017-02-13";-7
0.0000;0;0;"2017-02-12";8398
0.0000;0;20;"2017-02-12";8005
0.0000;0;24;"2017-02-12";7487
125.9643;0;0;"2017-02-12";6957
0.0000;0;0;"2017-02-12";6945
0.0000;0;0;"2017-02-12";6944
143.1000;0;0;"2017-02-12";6788
0.0000;0;0;"2017-02-12";6734
424.7971;0;0;"2017-02-12";6718
108.2143;0;0;"2017-02-12";6579
0.0000;0;399;"2017-02-12";6413
0.0000;0;0;"2017-02-12";6412
0.0000;0;0;"2017-02-12";6411
0.0000;0;5;"2017-02-12";6317
0.0000;0;10;"2017-02-12";6316
0.0000;0;6;"2017-02-12";6315
0.0000;0;4;"2017-02-12";6314
